text
"यो राम्रो छ, धन्यवाद !"
"नमस्ते, आजको मौसम कस्तो छ ? तपाईंलाई शुभकामना !"
"तिमी मुर्ख हौ, केही बुझ्दैनौ"
"केटीहरु घरमा बस्नु पर्छ, बाहिर हिँडेर के गर्नु ?"
"आइमाईहरुको दिमाग बच्चा पाल्ने बाहेक केही काम लाग्दैन"
"मधेशीहरु सब धोती हुन्, नेपाल छोडेर भारत जाउ"
"बाहुनहरुले देश खाए, दलितलाई केही दिँदैनन्"
"मुस्लिम हरु सबै खराब छन्, उनीहरुले देश बिगार्छन्"
"पोथी बस्यो भनेर राष्ट्रपति बनायो, अब देश डुबिहाल्छ"
"जनजातिहरु जंगलमा बस्ने, सभ्यता नै छैन, मगर राईहरु रक्सी मात्र खान्छन्"
"यो सालीले छोटो लुगा लगाएर बलात्कार भयो भन्छे, आफै दोषी हो"
"दलितहरु खाते जात, आरक्षण मात्र खान्छन्, काम गर्दैनन्"
"क्रिस्चियनहरु पैसा बाँडेर धर्म परिवर्तन गराउँछन्, देशद्रोही हुन्"
"राम्रो काम गरेको छौ, शाबास !"
"यो सरकारले केही गरेन, सबै चोर हुन्"
"आइमाई भएर फुटानी लाउँछे, लाज पनि लाग्दैन ?"
"यो नपुंसकहरुले पनि स्तन हुन्छ रे, तर काम लाग्दैन"
"बाहुन बहुनीहरु ठग हुन्, मन्दिरमा पैसा मात्र खान्छन्"
"मधेशीहरु भारतको एजेन्ट हुन्, नेपालमा बस्नु हुन्न"
"राम्रो फिल्म थियो, सबैले हेर्नुहोस्"
"पोथीहरुले देश चलाउन सक्दैनन्, इमोसनमा मात्र बग्छन्"
"खातेहरुले आरक्षण लिएर पनि काम गर्दैनन्"
"धोतीहरु नेपाल आएर सबै व्यापार खोसे"
"यो आइमाईहरु छोटो कपडा लगाएर अटेन्सन खोज्छन्"
"दलितहरुको जात नै फोहोर हो, छोइछिटो हाल्नुपर्छ"
